ID_REF,VALUE,Ratio,Flagged?,INV_VALUE
,1.78571,0.01638,TRUE,-1.78571
YCR097W-A,-0.04612,1.11204,FALSE,0.04612
YMR056C,0.00631,0.98558,FALSE,-0.00631
YBR085W,-0.07923,1.20014,FALSE,0.07923
YJR155W,0.03845,0.91527,TRUE,-0.03845
YNL331C,-0.05689,1.13997,FALSE,0.05689
YOL165C,0.14887,0.70979,FALSE,-0.14887
YCR107W,0.00857,0.98045,FALSE,-0.00857
YDL243C,-0.14713,1.40324,FALSE,0.14713
YFL056C,-0.03854,1.0928,FALSE,0.03854
YNL141W,0.14745,0.71212,FALSE,-0.14745
YHR047C,0.02476,0.94458,FALSE,-0.02476
YBL074C,-0.08253,1.20929,FALSE,0.08253
YKL106W,0.08627,0.81984,FALSE,-0.08627
YLR027C,-0.13275,1.35753,FALSE,0.13275
YGL119W,0.0094,0.97859,FALSE,-0.0094
YBR236C,-0.03068,1.0732,FALSE,0.03068
YKL112W,0.07842,0.83479,FALSE,-0.07842
YMR072W,-0.13486,1.36414,FALSE,0.13486
YJR108W,-0.06357,1.15763,FALSE,0.06357
YCR088W,-0.26495,1.84057,FALSE,0.26495
YOR239W,0.1509,0.70648,FALSE,-0.1509
YNR033W,0.25055,0.56164,FALSE,-0.25055
YER045C,-0.12785,1.34231,FALSE,0.12785
YGR037C,-0.17075,1.48165,FALSE,0.17075
YNR016C,0.10586,0.78368,FALSE,-0.10586
YLR131C,0.17493,0.66845,FALSE,-0.17493
YLR144C,-0.05748,1.14151,FALSE,0.05748
YBL015W,0.0155,0.96493,FALSE,-0.0155
YDR511W,0.02266,0.94916,FALSE,-0.02266
YLR304C,-0.40654,2.55002,FALSE,0.40654
YKL192C,0.02082,0.95319,FALSE,-0.02082
YAL054C,-0.18798,1.54163,FALSE,0.18798
YLR153C,0.00057,0.99869,FALSE,-0.00057
YFL039C,-0.21268,1.63187,FALSE,0.21268
YDR448W,0.0225,0.94952,FALSE,-0.0225
YAR015W,-0.20428,1.60057,FALSE,0.20428
YNL220W,0.01717,0.96123,FALSE,-0.01717
YLR359W,-0.12897,1.34576,FALSE,0.12897
YLR028C,-0.11102,1.29128,FALSE,0.11102
YMR120C,-0.20048,1.58665,FALSE,0.20048
YOR128C,-0.20719,1.61137,FALSE,0.20719
YGR204W,0.01411,0.96804,FALSE,-0.01411
YMR300C,0.05328,0.88455,FALSE,-0.05328
YGL234W,0.10643,0.78265,FALSE,-0.10643
YGR061C,0.22404,0.59698,FALSE,-0.22404
YDR408C,0.12068,0.75739,FALSE,-0.12068
YOL086C,0.22911,0.59005,FALSE,-0.22911
YMR303C,0.11843,0.76132,FALSE,-0.11843
YMR083W,0.00893,0.97964,FALSE,-0.00893
YGL256W,0.15195,0.70477,FALSE,-0.15195
YBR145W,0.04469,0.90222,FALSE,-0.04469
YDR226W,0.13038,0.74066,FALSE,-0.13038
YER170W,0.39096,0.40648,FALSE,-0.39096
YJR105W,0.10579,0.7838,FALSE,-0.10579
YCR011C,0.23658,0.57999,FALSE,-0.23658
YDR216W,-0.36258,2.30452,FALSE,0.36258
YCR010C,0.12455,0.75067,TRUE,-0.12455
YDL239C,-0.18135,1.51827,FALSE,0.18135
YLR227C,-0.01807,1.04248,FALSE,0.01807
YMR064W,-0.17312,1.48976,FALSE,0.17312
YMR282C,0.05511,0.88082,FALSE,-0.05511
YEL052W,0.01748,0.96055,FALSE,-0.01748
YLR397C,0.05492,0.8812,FALSE,-0.05492
YER017C,0.04751,0.89637,FALSE,-0.04751
YDR085C,-0.75897,5.74072,FALSE,0.75897
YPL202C,-0.07124,1.17826,FALSE,0.07124
YNR044W,-1.73586,54.43269,FALSE,1.73586
YGL032C,-1.35604,22.70052,FALSE,1.35604
YDR524C,-0.09066,1.23214,FALSE,0.09066
YIL044C,0.08816,0.81628,FALSE,-0.08816
YCL025C,0.35688,0.43967,FALSE,-0.35688
YBR132C,0.19535,0.63775,FALSE,-0.19535
YFL055W,-0.02878,1.06852,FALSE,0.02878
YOR023C,0.0917,0.80966,FALSE,-0.0917
YLR109W,0.06956,0.85201,FALSE,-0.06956
YHR093W,0.0061,0.98606,TRUE,-0.0061
YMR092C,-0.09797,1.25306,FALSE,0.09797
YBR059C,-0.25402,1.79482,FALSE,0.25402
YDR264C,-0.02091,1.04931,FALSE,0.02091
YOR034C,-0.02322,1.05493,FALSE,0.02322
YOR335C,0.05353,0.88405,FALSE,-0.05353
YMR170C,-0.19713,1.57444,FALSE,0.19713
YMR169C,-0.23557,1.72015,FALSE,0.23557
YOR374W,-0.44856,2.80904,FALSE,0.44856
YER073W,0.12107,0.75671,FALSE,-0.12107
YPL061W,-0.09654,1.24892,FALSE,0.09654
YNL148C,-0.10644,1.27773,FALSE,0.10644
YBR110W,0.03431,0.92404,FALSE,-0.03431
YNL048W,-0.02397,1.05675,FALSE,0.02397
YGL065C,-0.00377,1.00872,FALSE,0.00377
YPL227C,0.12188,0.7553,FALSE,-0.12188
YOR002W,-0.09922,1.25668,FALSE,0.09922
YBR243C,0.32615,0.4719,FALSE,-0.32615
YOR067C,0.08182,0.82829,FALSE,-0.08182
YNL219C,0.12896,0.74309,FALSE,-0.12896
YGL021W,-0.00138,1.00318,FALSE,0.00138
YML086C,0.00928,0.97885,FALSE,-0.00928
YNL270C,-0.07842,1.19788,FALSE,0.07842
YOL130W,0.14305,0.71936,FALSE,-0.14305
YFL050C,0.07117,0.84886,FALSE,-0.07117
YGR225W,-0.10754,1.28098,FALSE,0.10754
